LOC_PID,LGA_PID,LGA,LOCALITY,State.Region,ABB_NAME,Metro.Region,State,POA_CODE16
VIC1,VIC242,Alpine,Abbeyard,Hume,ALPINE,,VIC,3737
VIC10,VIC178,South Gippsland,Agnes,Gippsland,SOUTH GIPPSLAND,,VIC,3962
VIC100,VIC223,Glenelg,Bahgallah,Barwon South West,GLENELG,,VIC,3312
VIC1000,VIC177,Glen Eira,Glen Huntly,Greater Metropolitan Melbourne,GLEN EIRA,Metropolitan Melbourne,VIC,3163
VIC1001,VIC201,Boroondara,Glen Iris,Greater Metropolitan Melbourne,BOROONDARA,Metropolitan Melbourne,VIC,3146
VIC1001,VIC203,Stonnington,Glen Iris,Greater Metropolitan Melbourne,STONNINGTON,Inner Melbourne,VIC,3146
VIC1002,VIC236,Moorabool,Glen Park,Grampians,MOORABOOL,,VIC,3352
VIC1002,VIC241,Ballarat,Glen Park,Grampians,BALLARAT,,VIC,3352
VIC1003,VIC243,East Gippsland,Glen Valley,Gippsland,EAST GIPPSLAND,,VIC,3898
VIC1004,VIC210,Monash,Glen Waverley,Greater Metropolitan Melbourne,MONASH,Metropolitan Melbourne,VIC,3150
VIC1005,VIC243,East Gippsland,Glen Wills,Gippsland,EAST GIPPSLAND,,VIC,3898
VIC1006,VIC224,Colac Otway,Glenaire,Barwon South West,COLAC OTWAY,,VIC,3238
VIC1007,VIC243,East Gippsland,Glenaladale,Gippsland,EAST GIPPSLAND,,VIC,3864
VIC1008,VIC185,Loddon,Glenalbyn,Loddon Mallee,LODDON,,VIC,3517
VIC1009,VIC211,Mitchell,Glenaroua,Hume,MITCHELL,,VIC,3764
VIC101,VIC110,Strathbogie,Bailieston,Hume,STRATHBOGIE,,VIC,3608
VIC1010,VIC217,Pyrenees,Glenbrae,Grampians,PYRENEES,,VIC,3352
VIC1011,VIC250,Murrindindi,Glenburn,Hume,MURRINDINDI,,VIC,3717
VIC1012,VIC241,Ballarat,Glendaruel,Grampians,BALLARAT,,VIC,3363
VIC1014,VIC231,Corangamite,Glenfyne,Barwon South West,CORANGAMITE,,VIC,3266
VIC1015,VIC218,Wellington,Glengarry,Gippsland,WELLINGTON,,VIC,3854
VIC1015,VIC219,Latrobe,Glengarry,Gippsland,LATROBE,,VIC,3854
VIC1016,VIC194,Baw Baw,Glengarry North,Gippsland,BAW BAW,,VIC,3854
VIC1016,VIC219,Latrobe,Glengarry North,Gippsland,LATROBE,,VIC,3854
VIC1017,VIC219,Latrobe,Glengarry West,Gippsland,LATROBE,,VIC,3854
VIC1018,VIC169,Central Goldfields,Glengower,Loddon Mallee,CENTRAL GOLDFIELDS,,VIC,3370
VIC1018,VIC94,Hepburn,Glengower,Grampians,HEPBURN,,VIC,3370
VIC1019,VIC211,Mitchell,Glenhope,Hume,MITCHELL,,VIC,3444
VIC102,VIC243,East Gippsland,Bairnsdale,Gippsland,EAST GIPPSLAND,,VIC,3875
VIC1020,VIC211,Mitchell,Glenhope East,Hume,MITCHELL,,VIC,3522
VIC1021,VIC166,Northern Grampians,Glenisla,Grampians,NORTHERN GRAMPIANS,,VIC,3381
VIC1021,VIC233,Southern Grampians,Glenisla,Barwon South West,SOUTHERN GRAMPIANS,,VIC,3314
VIC1022,VIC152,Hindmarsh,Glenlee,Grampians,HINDMARSH,,VIC,3418
VIC1023,VIC217,Pyrenees,Glenlofty,Grampians,PYRENEES,,VIC,3469
VIC1024,VIC217,Pyrenees,Glenlogie,Grampians,PYRENEES,,VIC,3469
VIC1024,VIC220,Ararat,Glenlogie,Grampians,ARARAT,,VIC,3469
VIC1025,VIC183,Buloke,Glenloth,Loddon Mallee,BULOKE,,VIC,3527
VIC1026,VIC183,Buloke,Glenloth East,Loddon Mallee,BULOKE,,VIC,3527
VIC1026,VIC185,Loddon,Glenloth East,Loddon Mallee,LODDON,,VIC,3527
VIC1027,VIC105,Mount Alexander,Glenluce,Loddon Mallee,MOUNT ALEXANDER,,VIC,3451
VIC1028,VIC94,Hepburn,Glenlyon,Grampians,HEPBURN,,VIC,3461
VIC1029,VIC218,Wellington,Glenmaggie,Gippsland,WELLINGTON,,VIC,3858
VIC103,VIC241,Ballarat,Bakery Hill,Grampians,BALLARAT,,VIC,3350
VIC1030,VIC236,Moorabool,Glenmore,Grampians,MOORABOOL,,VIC,3340
VIC1031,VIC153,Horsham,Glenorchy,Grampians,HORSHAM,,VIC,3385
VIC1031,VIC166,Northern Grampians,Glenorchy,Grampians,NORTHERN GRAMPIANS,,VIC,3385
VIC1032,VIC229,Moyne,Glenormiston North,Barwon South West,MOYNE,,VIC,3265
VIC1032,VIC231,Corangamite,Glenormiston North,Barwon South West,CORANGAMITE,,VIC,3265
VIC1033,VIC231,Corangamite,Glenormiston South,Barwon South West,CORANGAMITE,,VIC,3265
VIC1034,VIC217,Pyrenees,Glenpatrick,Grampians,PYRENEES,,VIC,3469
VIC1035,VIC186,Wangaratta,Glenrowan,Hume,WANGARATTA,,VIC,3675
VIC1035,VIC199,Benalla,Glenrowan,Hume,BENALLA,,VIC,3675
VIC1036,VIC199,Benalla,Glenrowan West,Hume,BENALLA,,VIC,3675
